maxtempF,mintempF,avgtempF,totalprecipIn
29,16,24,0.06
33,15,28,0.31
35,33,34,2.25
34,26,30,2.12
30,22,26,0.09
36,25,30,0.33
29,21,25,0.52
27,13,21,0.14
28,4,15,0.0
27,9,18,0.18
28,13,22,0.28
28,20,24,0.11
33,23,29,0.33
36,31,33,0.34
38,27,32,0.0
34,18,28,0.39
26,12,20,0.07
35,10,22,0.0
41,20,29,0.0
40,26,33,0.0
36,31,34,0.19
31,18,27,0.51
30,20,26,0.75
28,16,23,0.35
29,17,25,0.5
35,29,32,0.69
33,26,29,0.22
31,21,27,0.32
30,20,25,0.13
33,15,24,0.04
31,26,29,0.98
31,21,26,0.2
33,23,27,0.15
37,19,27,0.0
40,22,30,0.0
45,26,34,0.03
35,26,31,0.07
36,27,33,0.45
37,28,32,0.31
34,30,33,0.97
35,28,33,0.72
35,27,30,0.52
34,26,30,0.39
42,25,33,0.0
39,24,32,0.11
35,23,28,0.08
36,23,28,0.08
35,21,28,0.07
41,21,30,0.0
46,25,35,0.0
52,31,41,0.0
53,33,43,0.0
43,31,37,0.15
43,26,34,0.17
47,24,35,0.01
46,28,36,0.0
47,31,38,0.0
43,29,37,0.55
42,24,33,0.03
41,29,35,0.12
44,27,37,0.56
44,30,38,0.48
59,29,44,0.0
68,39,52,0.01
66,41,52,0.01
49,40,44,0.0
52,38,44,0.35
40,30,36,0.8
40,29,34,0.11
49,29,39,0.0
49,36,41,0.01
40,32,37,0.87
46,39,42,0.25
49,36,42,0.22
48,40,44,0.32
51,42,47,0.08
49,38,44,0.07
56,38,45,0.04
38,28,33,0.09
39,26,31,0.03
33,23,27,0.06
31,22,25,0.01
35,22,28,0.41
36,28,32,0.48
41,30,35,0.16
38,28,34,0.11
36,24,30,0.0
38,24,31,0.02
35,30,33,0.43
33,28,31,0.52
38,31,35,2.12
37,29,33,0.2
33,28,30,0.52
36,24,28,0.0
37,30,34,1.06
36,27,32,0.05
33,21,26,0.0
32,19,24,0.0
33,21,26,0.0
32,25,29,0.07
34,30,32,0.32
40,31,35,0.31
39,33,35,0.28
34,33,33,0.85
36,32,34,0.53
39,33,36,0.9
32,26,28,0.17
31,27,30,0.75
32,25,28,0.84
29,23,25,0.33
33,21,28,0.19
35,27,31,0.04
35,25,30,0.15
31,24,28,0.04
34,24,27,0.02
31,20,26,0.17
26,23,24,0.33
29,25,26,0.84
29,19,24,1.01
23,10,17,0.05
26,12,21,0.77
28,19,25,0.52
29,18,23,0.15
32,19,25,0.15
29,22,25,0.26
29,19,24,0.12
25,22,23,0.52
29,23,25,0.13
31,22,27,0.19
28,20,23,0.0
29,14,22,0.01
28,7,17,0.0
24,5,13,0.0
23,8,15,0.0
19,9,12,0.0
19,7,13,0.04
33,19,26,0.17
27,20,23,0.12
32,24,28,0.22
35,28,32,1.4
35,27,32,0.56
36,21,28,0.37
25,18,21,0.11
22,6,13,0.0
20,1,9,0.0
21,-3,7,0.0
25,8,16,0.0
31,14,21,0.0
35,20,25,0.0
37,20,28,0.0
39,24,31,0.0
39,22,29,0.0
34,18,25,0.0
31,15,21,0.0
31,14,22,0.0
29,24,27,0.16
34,21,28,0.11
36,28,32,0.33
32,21,26,0.2
30,25,27,0.33
29,24,28,0.83
33,28,31,0.66
34,32,33,0.31
35,32,33,0.27
38,23,31,0.03
37,23,28,0.0
36,26,31,0.02
37,30,33,0.06
36,28,32,0.33
35,27,31,0.24
32,22,27,0.12
32,20,25,0.0
32,21,27,0.0
36,22,27,0.0
35,24,28,0.02
36,29,33,0.18
33,27,31,0.16
38,28,31,0.01
40,25,31,0.0
35,26,31,0.24
31,21,27,0.03
33,24,28,0.05
34,21,27,0.0
33,19,25,0.04
30,22,27,0.38
32,24,28,0.76
30,24,27,0.46
35,24,28,0.01
29,24,27,0.44
35,22,28,0.0
36,26,30,0.02
36,27,33,0.69
41,35,37,0.07
41,26,35,0.15
31,17,24,0.08
34,16,24,0.0
34,23,28,0.02
34,25,30,0.41
35,24,30,0.25
39,19,29,0.0
39,20,29,0.0
36,25,31,0.06
41,26,33,0.11
42,35,38,0.19
45,35,39,0.17
47,36,40,0.1
43,35,38,0.13
37,25,33,0.49
29,24,27,0.37
32,22,28,0.26
37,21,29,0.37
35,23,30,0.93
30,22,25,0.41
30,17,23,0.07
35,18,26,0.0
39,21,28,0.0
41,22,31,0.0
47,27,37,0.0
46,32,37,0.03
47,31,38,0.0
48,32,38,0.0
54,30,42,0.0
55,35,44,0.0
53,36,43,0.0
47,35,39,0.0
52,31,42,0.0
44,37,41,0.43
43,36,39,0.77
38,31,36,0.46
32,29,31,0.75
41,28,34,0.08
45,29,37,0.0
41,32,38,0.36
38,27,33,0.17
42,28,33,0.35
31,24,28,0.67
37,23,30,0.06
37,25,31,0.1
39,25,31,0.04
43,25,34,0.0
43,26,36,0.2
42,35,38,0.75
40,33,36,0.3
39,29,33,0.23
47,27,36,0.0
46,28,37,0.0
55,30,41,0.0
56,34,44,0.0
58,37,47,0.0
49,36,42,0.18
43,35,39,0.24
35,27,32,0.59
38,24,31,0.07
52,34,41,0.02
40,30,35,0.83
34,25,30,0.25
36,24,30,0.02
39,31,34,0.33
39,28,33,0.07
37,31,34,1.16
37,32,34,0.18
39,26,32,0.19
40,32,35,0.03
41,30,34,0.0
42,35,39,0.19
42,34,38,0.04
37,31,35,0.01
35,31,32,0.77
32,28,30,0.45
37,29,33,0.47
38,35,36,0.72
38,23,33,0.3
31,16,22,0.0
28,16,22,0.0
31,17,22,0.0
35,18,24,0.0
40,24,31,0.0
39,26,31,0.0
41,25,30,0.0
39,26,30,0.0
43,26,33,0.0
39,32,34,0.01
37,32,35,0.18
40,29,37,2.8
28,20,24,0.3
24,11,18,0.0
19,9,13,0.0
16,6,10,0.0
12,4,7,0.0
15,2,7,0.0
16,1,8,0.0
22,9,15,0.0
28,16,21,0.02
30,13,20,0.0
32,19,26,0.2
35,29,33,0.28
38,27,32,0.0
36,32,34,0.06
39,30,33,0.0
40,31,34,0.02
32,23,29,0.26
28,19,23,0.0
32,19,27,0.85
33,29,31,0.29
33,31,33,0.33
35,26,32,0.72
31,16,23,0.0
